League,Team,Team_ID,URL
NFL,Los Angeles Rams,14,https://www.espn.com/football/team/roster/_/name/los-angeles-rams/los-angeles-rams
NFL,Miami Dolphins,15,https://www.espn.com/football/team/roster/_/name/miami-dolphins/miami-dolphins
NFL,Minnesota Vikings,16,https://www.espn.com/football/team/roster/_/name/minnesota-vikings/minnesota-vikings
NFL,New England Patriots,17,https://www.espn.com/football/team/roster/_/name/new-england-patriots/new-england-patriots
NFL,New Orleans Saints,18,https://www.espn.com/football/team/roster/_/name/new-orleans-saints/new-orleans-saints
NFL,New York Giants,19,https://www.espn.com/football/team/roster/_/name/new-york-giants/new-york-giants
NFL,New York Jets,20,https://www.espn.com/football/team/roster/_/name/new-york-jets/new-york-jets
NFL,Philadelphia Eagles,21,https://www.espn.com/football/team/roster/_/name/philadelphia-eagles/philadelphia-eagles
NFL,Pittsburgh Steelers,23,https://www.espn.com/football/team/roster/_/name/pittsburgh-steelers/pittsburgh-steelers
NFL,San Francisco 49ers,25,https://www.espn.com/football/team/roster/_/name/san-francisco-49ers/san-francisco-49ers
NFL,Seattle Seahawks,26,https://www.espn.com/football/team/roster/_/name/seattle-seahawks/seattle-seahawks
NFL,Tampa Bay Buccaneers,27,https://www.espn.com/football/team/roster/_/name/tampa-bay-buccaneers/tampa-bay-buccaneers
NFL,Tennessee Titans,10,https://www.espn.com/football/team/roster/_/name/tennessee-titans/tennessee-titans
NFL,Washington Commanders,28,https://www.espn.com/football/team/roster/_/name/washington-commanders/washington-commanders
